name,Z,A,M15Z0,M15Z1e-2,M15Z1e-1,M15Z1,M20Z0,M20Z1e-2,M20Z1e-1,M20Z1,M25Z0,M25Z1e-2,M25Z1e-1,M25Z1,M30Z0,M30Z1e-2,M30Z1e-1,M30Z1,M40Z0,M40Z1e-2,M40Z1e-1,M40Z1,M60Z0,M60Z1e-2,M60Z1e-1,M60Z1
ca40,20,40,4.65961E-03,6.46471E-03,5.02189E-03,4.12171E-03,9.87266E-03,6.60684E-03,2.16390E-02,3.48072E-02,2.18624E-02,2.16254E-02,2.59857E-02,4.45927E-03,1.39224E-02,8.12728E-03,1.69373E-02,1.01485E-02,2.37793E-02,9.62094E-02,2.72725E-02,1.39277E-02,1.62137E-01,1.76473E-01,1.65731E-01,2.63251E-02
ca42,20,42,2.01152E-05,1.36805E-05,3.33275E-05,1.42171E-05,5.02965E-05,1.17425E-05,2.16107E-04,1.56875E-03,3.10633E-04,2.15592E-04,2.43217E-04,1.01396E-05,3.84771E-05,1.96821E-05,1.76913E-04,1.30674E-04,2.31534E-04,2.99786E-04,2.76809E-05,4.44492E-05,1.21444E-03,1.82175E-04,5.99965E-04,1.21297E-04
ca43,20,43,5.15495E-06,4.77862E-06,3.54540E-06,5.52907E-06,3.11706E-06,2.50423E-06,5.60281E-06,2.27213E-05,1.25327E-05,6.13173E-06,5.09027E-06,5.04917E-06,8.45977E-06,7.06717E-06,4.28582E-06,9.45854E-06,1.05558E-05,1.70366E-05,9.15334E-06,1.41775E-05,5.58885E-05,4.67106E-05,5.02691E-05,3.96283E-05
ca44,20,44,3.11081E-05,6.57949E-05,4.18471E-05,5.99436E-05,4.63212E-05,3.76815E-05,7.07485E-05,1.24616E-04,8.73043E-05,4.82594E-05,5.61193E-05,2.19136E-04,9.07889E-05,8.82573E-05,6.28405E-05,3.56066E-04,5.66000E-05,1.14891E-04,1.62268E-04,5.23510E-04,8.91177E-04,1.02609E-03,5.61257E-04,8.86958E-04
ca46,20,46,1.27975E-10,2.17000E-09,1.17738E-08,2.75572E-08,1.04556E-08,3.03135E-09,3.98405E-09,1.17953E-08,7.91163E-09,2.38296E-09,2.35084E-08,3.24236E-08,7.07852E-10,3.41228E-09,9.66950E-09,1.96689E-07,1.01181E-08,7.05685E-13,1.38812E-08,1.39576E-07,1.18061E-08,1.31453E-08,1.99509E-08,2.86838E-07
ca48,20,48,1.55250E-15,4.27271E-13,5.35970E-11,1.10638E-12,4.30087E-11,1.89470E-12,9.35504E-13,9.40076E-13,1.43248E-11,1.18683E-12,1.10460E-11,5.35998E-12,2.53068E-13,5.06261E-13,2.59944E-12,8.70587E-11,4.96269E-12,1.04854E-20,1.44964E-12,3.44474E-11,1.35846E-12,3.96343E-12,9.00939E-13,2.68695E-11
sc45,21,45,9.28130E-06,2.35563E-07,1.16882E-06,4.06131E-06,3.43303E-07,3.41865E-07,9.73227E-06,1.53125E-05,7.87149E-06,9.69685E-06,4.02878E-06,4.11648E-06,5.99088E-06,6.44478E-06,3.14381E-06,8.44355E-06,3.08319E-06,6.99543E-06,6.61503E-06,1.69953E-05,1.06270E-05,9.90180E-06,2.12331E-05,5.08555E-05
ti46,22,46,1.66553E-05,8.07809E-06,1.79719E-05,1.17954E-05,3.01910E-05,5.28759E-06,1.28190E-04,3.65255E-04,6.49695E-05,1.15262E-04,1.34627E-04,4.93822E-06,1.62339E-05,8.36502E-06,6.31078E-05,6.44141E-05,7.60438E-05,2.02521E-04,1.60769E-05,2.44249E-05,6.04767E-04,1.19963E-04,3.93924E-04,7.16745E-05
ti47,22,47,9.29078E-06,7.56723E-06,6.28711E-06,1.07178E-05,5.48212E-06,4.64402E-06,8.42841E-06,3.42239E-05,1.33729E-05,7.56121E-06,1.02024E-05,6.20479E-06,1.05252E-05,8.56720E-06,7.59393E-06,1.53172E-05,1.99259E-05,2.52494E-05,1.02267E-05,1.43196E-05,4.91170E-05,3.30324E-05,4.96369E-05,3.96106E-05
ti48,22,48,1.62674E-04,2.66993E-04,1.58714E-04,2.25594E-04,2.31415E-04,2.05157E-04,2.11337E-04,2.89407E-04,4.58911E-04,1.74934E-04,1.61510E-04,1.79220E-04,4.02287E-04,2.92050E-04,1.18986E-04,1.82901E-04,3.02991E-04,3.30964E-04,6.63027E-04,4.72173E-04,2.48118E-03,2.96595E-03,1.33643E-03,1.55422E-03
